COM,REG,DEP,TNCC,NCC,NCCENR
2052,32,2,0,BASSOLES AULERS,Bassoles-Aulers
2053,32,2,0,VALLEES EN CHAMPAGNE,Vallées en Champagne
2054,32,2,0,BAZOCHES ET SAINT THIBAUT,Bazoches-et-Saint-Thibaut
2055,32,2,0,BEAUME,Beaumé
2056,32,2,0,BEAUMONT EN BEINE,Beaumont-en-Beine
2057,32,2,0,BEAUREVOIR,Beaurevoir
2058,32,2,0,BEAURIEUX,Beaurieux
2059,32,2,0,BEAUTOR,Beautor
2060,32,2,0,BEAUVOIS EN VERMANDOIS,Beauvois-en-Vermandois
2061,32,2,0,BECQUIGNY,Becquigny
2062,32,2,0,BELLEAU,Belleau
2063,32,2,0,BELLENGLISE,Bellenglise
2064,32,2,0,BELLEU,Belleu
2065,32,2,0,BELLICOURT,Bellicourt
2066,32,2,0,BENAY,Benay
2067,32,2,0,BERGUES SUR SAMBRE,Bergues-sur-Sambre
2068,32,2,0,BERLANCOURT,Berlancourt
2069,32,2,0,BERLISE,Berlise
2070,32,2,0,BERNOT,Bernot
2071,32,2,0,BERNY RIVIERE,Berny-Rivière
2072,32,2,0,BERRIEUX,Berrieux
2073,32,2,0,BERRY AU BAC,Berry-au-Bac
2074,32,2,0,BERTAUCOURT EPOURDON,Bertaucourt-Epourdon
2075,32,2,0,BERTHENICOURT,Berthenicourt
2076,32,2,0,BERTRICOURT,Bertricourt
2078,32,2,0,BESME,Besmé
2079,32,2,0,BESMONT,Besmont
2080,32,2,0,BESNY ET LOIZY,Besny-et-Loizy
2081,32,2,0,BETHANCOURT EN VAUX,Béthancourt-en-Vaux
2082,32,2,0,BEUGNEUX,Beugneux
2083,32,2,0,BEUVARDES,Beuvardes
2084,32,2,0,BEZU LE GUERY,Bézu-le-Guéry
2085,32,2,0,BEZU SAINT GERMAIN,Bézu-Saint-Germain
2086,32,2,0,BICHANCOURT,Bichancourt
2087,32,2,0,BIEUXY,Bieuxy
2088,32,2,0,BIEVRES,Bièvres
2089,32,2,0,BILLY SUR AISNE,Billy-sur-Aisne
2090,32,2,0,BILLY SUR OURCQ,Billy-sur-Ourcq
2091,32,2,0,BLANZY LES FISMES,Blanzy-lès-Fismes
2093,32,2,0,BLERANCOURT,Blérancourt
2094,32,2,0,BLESMES,Blesmes
2095,32,2,0,BOHAIN EN VERMANDOIS,Bohain-en-Vermandois
2096,32,2,0,BOIS LES PARGNY,Bois-lès-Pargny
2097,32,2,0,BONCOURT,Boncourt
2098,32,2,0,BONNEIL,Bonneil
2099,32,2,0,BONNESVALYN,Bonnesvalyn
2100,32,2,0,BONY,Bony
2101,32,2,0,BOSMONT SUR SERRE,Bosmont-sur-Serre
2102,32,2,0,BOUCONVILLE VAUCLAIR,Bouconville-Vauclair
2103,32,2,0,BOUE,Boué
2104,32,2,0,BOUFFIGNEREUX,Bouffignereux
2105,32,2,0,BOURESCHES,Bouresches
2106,32,2,0,BOURG ET COMIN,Bourg-et-Comin
2107,32,2,0,BOURGUIGNON SOUS COUCY,Bourguignon-sous-Coucy
2108,32,2,0,BOURGUIGNON SOUS MONTBAVIN,Bourguignon-sous-Montbavin
2109,32,2,3,BOUTEILLE,Bouteille
2110,32,2,0,BRAINE,Braine
2111,32,2,0,BRANCOURT EN LAONNOIS,Brancourt-en-Laonnois
2112,32,2,0,BRANCOURT LE GRAND,Brancourt-le-Grand
2114,32,2,0,BRASLES,Brasles
2115,32,2,0,BRAYE EN LAONNOIS,Braye-en-Laonnois
2116,32,2,0,BRAYE EN THIERACHE,Braye-en-Thiérache
2117,32,2,0,BRAY SAINT CHRISTOPHE,Bray-Saint-Christophe
2118,32,2,0,BRAYE,Braye
2119,32,2,0,BRECY,Brécy
